Port Code,Port Name,State
3104,Alcan,AK
3106,Dalton Cache,AK
3102,Ketchikan,AK
3103,Skagway,AK
2601,Douglas,AZ
2602,Lukeville,AZ
2603,Naco,AZ
2604,Nogales,AZ
2608,San Luis,AZ
2606,Sasabe,AZ
2502,Andrade,CA
2503,Calexico,CA
2507,Calexico East,CA
2506,Otay Mesa,CA
2504,San Ysidro,CA
2505,Tecate,CA
3302,Eastport,ID
3308,Porthill,ID
112,Bar Harbor,ME
127,Bridgewater,ME
115,Calais,ME
103,Eastport,ME
107,Fort Fairfield,ME
110,Fort Kent,ME
106,Houlton,ME
104,Jackman,ME
118,Limestone,ME
109,Madawaska,ME
101,Portland,ME
108,Van Buren,ME
105,Vanceboro,ME
3801,Detroit,MI
3802,Port Huron,MI
3803,Sault Ste. Marie,MI
3424,Baudette,MN
3613,Grand Portage,MN
3604,International Falls,MN
3430,Lancaster,MN
3402,Noyes,MN
3425,Pinecreek,MN
3426,Roseau,MN
3423,Warroad,MN
3322,Del Bonita,MT
3319,Morgan,MT
3317,Opheim,MT
3316,Piegan,MT
3301,Raymond,MT
3318,Roosville,MT
3309,Scobey,MT
3310,Sweetgrass,MT
3306,Turner,MT
3312,Whitetail,MT
3321,Whitlash,MT
3323,Wildhorse,MT
3325,Willow Creek,MT
3410,Ambrose,ND
3413,Antler,ND
3421,Carbury,ND
3422,Dunseith,ND
3417,Fortuna,ND
3408,Hannah,ND
3415,Hansboro,ND
3416,Maida,ND
3404,Neche,ND
3420,Noonan,ND
3406,Northgate,ND
3401,Pembina,ND
3403,Portal,ND
3409,Sarles,ND
3414,Sherwood,ND
3405,St. John,ND
3407,Walhalla,ND
3419,Westhope,ND
2406,Columbus,NM
2408,Santa Teresa,NM
708,Alexandria Bay/Cape Vincent,NY
901,Buffalo-Niagara Falls,NY
706,Cape Vincent,NY
712,Champlain-Rouses Pt.,NY
704,Massena,NY
701,Ogdensburg,NY
715,Trout River/Fort Covington/Chateaugay,NY
2410,Boquillas,TX
2301,Brownsville,TX
2302,Del Rio,TX
2303,Eagle Pass,TX
2402,El Paso,TX
2404,Fabens,TX
2305,Hidalgo,TX
2304,Laredo,TX
2403,Presidio,TX
2309,Progreso,TX
2307,Rio Grande City,TX
2310,Roma,TX
206,Beecher Falls,VT
209,Derby Line,VT
212,Highgate Springs,VT
211,Norton,VT
203,Richford,VT
3010,Anacortes,WA
3004,Blaine,WA
3015,Boundary,WA
3012,Danville,WA
3013,Ferry,WA
3014,Friday Harbor,WA
3020,Frontier,WA
3016,Laurier,WA
3023,Lynden,WA
3025,Metaline Falls,WA
3011,Nighthawk,WA
3019,Oroville,WA
3017,Point Roberts,WA
3007,Port Angeles,WA
3009,Sumas,WA
